sample_id,raw_input,normalized_degree_part,canonical_degree,canonical_field,degree_level,degree_short_code,split_pattern,expected_layer,expected_status,gold_confidence,training_use,source
L1-00001,10th Standard,10th standard,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00002,10TH,10th,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00003,CBSE10th,cbse10th,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00004,cbse 10th,cbse 10th,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00005,X (Hons),x,10th Standard,,SCHOOL,10TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00006,Matriculation,matriculation,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00007,SSC (Hons),ssc,10th Standard,,SCHOOL,10TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00008,Matriculation (Hons),matriculation,10th Standard,,SCHOOL,10TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00009,X,x,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00010,matric,matric,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00011,ssc,ssc,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00012,Matric Hons,matric,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00013,10th Standard (Hons),10th standard,10th Standard,,SCHOOL,10TH,parentheses,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
L1-00014,SSC Hons,ssc,10th Standard,,SCHOOL,10TH,none,L1,resolved,1.00,exact_lookup_dictionary,degree_dictionary.json
