sample_id,raw_input,gold_clean_alias,canonical_degree,canonical_field,degree_level,noise_type,difficulty,expected_layer,expected_status,expected_min_confidence,training_use,source
L2-00001,10th Stndard,10th Standard,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00001
L2-00002,10ht Standard,10th Standard,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00001
L2-00003,10th Stan,10th Standard,10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00001
L2-00004,CBS10th,CBSE10th,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00003
L2-00005,CSBE10th,CBSE10th,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00003
L2-00007,cbs 10th,cbse 10th,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00004
L2-00008,csbe 10th,cbse 10th,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00004
L2-00009,X (Ho,X (Hons),10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00005
L2-00010,Matrculation,Matriculation,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00006
L2-00011,Mtariculation,Matriculation,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00006
L2-00012,Matricu1ation,Matriculation,10th Standard,,SCHOOL,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00006
L2-00013,SCS (Hons),SSC (Hons),10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00007
L2-00014,SSC (Ho,SSC (Hons),10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00007
L2-00015,Matrculation (Hons),Matriculation (Hons),10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00008
L2-00016,Mtariculation (Hons),Matriculation (Hons),10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00008
L2-00017,Matricu1ation (Hons),Matriculation (Hons),10th Standard,,SCHOOL,ocr_confusion,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00008
L2-00018,Matriculation (Ho,Matriculation (Hons),10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00008
L2-00019,matrc,matric,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00010
L2-00020,mtaric,matric,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00010
L2-00021,mat,matric,10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00010
L2-00022,Matrc Hons,Matric Hons,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00012
L2-00023,Mtaric Hons,Matric Hons,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00012
L2-00024,Mat Hons,Matric Hons,10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00012
L2-00025,10th Stndard (Hons),10th Standard (Hons),10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00013
L2-00026,10ht Standard (Hons),10th Standard (Hons),10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00013
L2-00027,10th Standard (Ho,10th Standard (Hons),10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00013
L2-00028,SSC Hns,SSC Hons,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00014
L2-00029,SCS Hons,SSC Hons,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00014
L2-00030,CBS 10th (Hons),CBSE 10th (Hons),10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00015
L2-00031,CSBE 10th (Hons),CBSE 10th (Hons),10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00015
L2-00032,CBSE 10th (Ho,CBSE 10th (Hons),10th Standard,,SCHOOL,truncated_term,hard,L2,review_needed,0.60,fuzzy_matching_threshold_tuning,L1-00015
L2-00033,Matrc,Matric,10th Standard,,SCHOOL,single_vowel_drop,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00018
L2-00034,Mtaric,Matric,10th Standard,,SCHOOL,adjacent_transposition,medium,L2,fuzzy_matched,0.82,fuzzy_matching_threshold_tuning,L1-00018
